NIKE INC,ACCOUNTING MANAGER GLOBAL SC INFORMATION,"121,755","BEAVERTON, OR",10/10/2017,10/13/2017,CERTIFIED
NIKE INC,ANALYTICS MANAGER,"110,000","BEAVERTON, OR",03/04/2015,07/01/2015,CERTIFIED
NIKE USA INC,ANALYTICS MANAGER,"110,000","BEAVERTON, OR",02/18/2014,08/06/2014,CERTIFIED
NIKE INC,ANDROID ENGINEER,"118,000","BEAVERTON, OR",09/12/2017,12/04/2017,CERTIFIED
NIKE INC,APPAREL DESIGNER II,"95,000","BEAVERTON, OR",10/03/2014,10/20/2014,CERTIFIED
NIKE INC,APPAREL DESIGNER II,"97,620","BEAVERTON, OR",09/13/2016,09/26/2016,CERTIFIED
NIKE INC,APPAREL DESIGNER II INLINE INNOVATION MENS ATHLETIC TRAINING,"98,095","BEAVERTON, OR",10/21/2015,11/02/2015,CERTIFIED
NIKE INC,APPAREL DESIGNER II NIKE LAB,"110,865","BEAVERTON, OR",12/14/2017,12/20/2017,CERTIFIED
NIKE INC,APPAREL DESIGNER II NIKE LAB,"110,865","BEAVERTON, OR",12/11/2017,12/10/2017,DENIED
NIKE INC,"APPLICATION ENGINEER, .NET - CONSUMER DIGITAL TECHNOLOGY","117,000","BEAVERTON, OR",08/19/2015,08/31/2015,CERTIFIED
NIKE TN INC,APPLICATIONS ENGINEER,"100,000","MEMPHIS, TN",07/29/2014,08/18/2014,CERTIFIED
NIKE USA INC,APPLICATIONS ENGINEER,"102,510","MEMPHIS, TN",01/29/2016,02/15/2016,CERTIFIED
NIKE INC,ART DIRECTOR - JORDAN BRAND DESIGN,"125,000","BEAVERTON, OR",10/28/2013,11/04/2013,CERTIFIED
NIKE INC,ART DIRECTOR: BRAND DESIGN,"150,000","BEAVERTON, OR",01/08/2015,01/15/2015,CERTIFIED
NIKE INC,ASSOCIATE PRODUCT MANAGER,"120,680","BEAVERTON, OR",08/23/2017,08/28/2017,CERTIFIED
NIKE INC,BAG DESIGNER II,"100,635","BEAVERTON, OR",11/17/2014,03/26/2015,CERTIFIED
NIKE INC,BI TECH LEAD,"104,000","BEAVERTON, OR",01/09/2015,01/26/2015,CERTIFIED
NIKE INC,BI TECHNICAL LEAD,"113,640","BEAVERTON, OR",07/28/2017,08/11/2017,CERTIFIED
NIKE INC,BRAND DESIGNER II,"100,000","BEAVERTON, OR",05/27/2015,06/22/2015,CERTIFIED
NIKE RETAIL SERVICES INC,BUSINESS ANALYST - DIRECT TO CONSUMER SUPPLY CHAIN,"81,605","BEAVERTON, OR",03/11/2016,09/09/2016,CERTIFIED
